'07/04/2021 16:47:19.632038', '75026', '68760', '1836'
'07/04/2021 16:47:19.637128', '75016', '68754', '1831'
'07/04/2021 16:47:19.641842', '74980', '68742', '1869'
'07/04/2021 16:47:19.646940', '74931', '68716', '1883'
'07/04/2021 16:47:19.652063', '74839', '68670', '1838'
'07/04/2021 16:47:19.657177', '74721', '68610', '1829'
'07/04/2021 16:47:19.661883', '74577', '68546', '1872'
'07/04/2021 16:47:19.667007', '74423', '68473', '1888'
'07/04/2021 16:47:19.672117', '74261', '68396', '1831'
'07/04/2021 16:47:19.676849', '74095', '68326', '1815'
'07/04/2021 16:47:19.681967', '73944', '68259', '1856'
'07/04/2021 16:47:19.687076', '73818', '68220', '1895'
'07/04/2021 16:47:19.693250', '73711', '68173', '1808'
'07/04/2021 16:47:19.697465', '73618', '68139', '1811'
'07/04/2021 16:47:19.702510', '73555', '68112', '1869'
'07/04/2021 16:47:19.707221', '73496', '68094', '1887'
'07/04/2021 16:47:19.711874', '73448', '68073', '1831'
'07/04/2021 16:47:19.717100', '73408', '68061', '1817'
'07/04/2021 16:47:19.722150', '73377', '68047', '1879'
'07/04/2021 16:47:19.727218', '73355', '68043', '1891'
'07/04/2021 16:47:19.731870', '73333', '68037', '1840'
'07/04/2021 16:47:19.736935', '73321', '68032', '1826'
'07/04/2021 16:47:19.742006', '73320', '68028', '1863'
'07/04/2021 16:47:19.747066', '73314', '68025', '1879'
'07/04/2021 16:47:19.752128', '73308', '68026', '1830'
'07/04/2021 16:47:19.757196', '73316', '68030', '1815'
'07/04/2021 16:47:19.762253', '73313', '68030', '1869'
'07/04/2021 16:47:19.767104', '73320', '68034', '1902'
'07/04/2021 16:47:19.772100', '73334', '68041', '1841'
'07/04/2021 16:47:19.777201', '73347', '68045', '1826'
'07/04/2021 16:47:19.782258', '73357', '68047', '1877'
'07/04/2021 16:47:19.786926', '73362', '68054', '1897'
'07/04/2021 16:47:19.792285', '73378', '68060', '1857'
'07/04/2021 16:47:19.796921', '73395', '68065', '1835'
'07/04/2021 16:47:19.802011', '73405', '68072', '1875'
'07/04/2021 16:47:19.807094', '73423', '68080', '1895'
'07/04/2021 16:47:19.812176', '73444', '68085', '1843'
'07/04/2021 16:47:19.817252', '73462', '68094', '1798'
'07/04/2021 16:47:19.822323', '73478', '68105', '1877'
'07/04/2021 16:47:19.827033', '73501', '68118', '1903'
'07/04/2021 16:47:19.832117', '73544', '68132', '1855'
'07/04/2021 16:47:19.836957', '73578', '68143', '1837'
'07/04/2021 16:47:19.842132', '73612', '68157', '1873'
'07/04/2021 16:47:19.847231', '73658', '68179', '1897'
'07/04/2021 16:47:19.852322', '73700', '68195', '1840'
'07/04/2021 16:47:19.857037', '73738', '68212', '1826'
'07/04/2021 16:47:19.862120', '73782', '68226', '1871'
